R2,RMSE,MAE,MedianAE,MAPE_percent,ExplainedVariance,Pearson_r,Target,Model,Fold,ValidationType,TrainRows,ValidationRows
-0.6510884705678786,0.017597517956072475,0.013850150101157787,0.011770714044458952,5.610593365047597,0.0,-8.959203537238993e-16,Porosity,Baseline Mean,1,Depth TimeSeriesSplit,1030,1027
-0.5450732246590397,0.0183749711818471,0.013087717052381055,0.010119702277349124,6.108441133679788,0.0,,Porosity,Baseline Mean,2,Depth TimeSeriesSplit,2057,1027
-1.9218586145069363,0.03810466139949785,0.03138544163903892,0.027332976248515023,16.592037053916773,0.0,-3.540088653317384e-16,Porosity,Baseline Mean,3,Depth TimeSeriesSplit,3084,1027
-1.6241651400754962,0.04158972914699525,0.033506945653390824,0.028403210339675883,19.13416371040888,0.0,-1.2295101734089254e-15,Porosity,Baseline Mean,4,Depth TimeSeriesSplit,4111,1027
-4.734253146514549,0.03934830626879577,0.035885598616867985,0.03602515168632239,20.037055920784482,0.0,-3.8486466526637314e-16,Porosity,Baseline Mean,5,Depth TimeSeriesSplit,5138,1027
0.4236551863773823,0.01039698552516778,0.009585812905048187,0.010785393822685979,3.905219726713185,0.9135754550327699,0.9644435647127352,Porosity,Linear Regression,1,Depth TimeSeriesSplit,1030,1027
0.8758842970823318,0.005207934326226174,0.003351537993524976,0.0024582686233984574,1.549700894660799,0.8761663910181142,0.9361282343232289,Porosity,Linear Regression,2,Depth TimeSeriesSplit,2057,1027
0.8328198619491295,0.009114667870783286,0.006580600722033316,0.004489314472583578,3.522310253820499,0.8509995695973616,0.9398613795566212,Porosity,Linear Regression,3,Depth TimeSeriesSplit,3084,1027
0.9449640956114114,0.006023009730713035,0.004040103286084981,0.0029260995989707217,2.211320197467365,0.946161141744331,0.9760681149169006,Porosity,Linear Regression,4,Depth TimeSeriesSplit,4111,1027
0.8877339181728858,0.005505691781358123,0.004376120540836134,0.0036177148918219992,2.3867845557028766,0.9317335528921513,0.9668361603022172,Porosity,Linear Regression,5,Depth TimeSeriesSplit,5138,1027
0.7500016865122079,0.0068475432513375595,0.006297269947877057,0.006613224493756925,2.5599162059059584,0.9539446862477445,0.9767494779515538,Porosity,Ridge Regression,1,Depth TimeSeriesSplit,1030,1027
0.8765476164102539,0.005193999137739266,0.0032279296995656043,0.0022834283029328772,1.4978471184055673,0.8765538186426933,0.9362447993396987,Porosity,Ridge Regression,2,Depth TimeSeriesSplit,2057,1027
0.8316327274695404,0.009146971934861418,0.006559993421623645,0.004369974729500986,3.5163098905985026,0.8513227445477639,0.9407345552227588,Porosity,Ridge Regression,3,Depth TimeSeriesSplit,3084,1027
0.9441758555601028,0.006065988029723901,0.004112399218754818,0.0030295679416774135,2.2476020334486138,0.946577162727994,0.9766195372179831,Porosity,Ridge Regression,4,Depth TimeSeriesSplit,4111,1027
0.8875922736943557,0.0055091639120412065,0.004385495164290008,0.0037004732218003933,2.3903819428583923,0.9346205390396229,0.9677723194363209,Porosity,Ridge Regression,5,Depth TimeSeriesSplit,5138,1027
0.8899700790523849,0.004542779372479083,0.0021043810853698898,0.001043805497594169,0.9322096415601197,0.8961142967979316,0.965260938305498,Porosity,Random Forest,1,Depth TimeSeriesSplit,1030,1027
0.88055349871473,0.005109034672750389,0.002234396612392799,0.0008455536690218091,1.0655784372240327,0.8911875820941307,0.9440328948458396,Porosity,Random Forest,2,Depth TimeSeriesSplit,2057,1027
0.9045767175562746,0.0068861374019007,0.004777632001177769,0.003605725163060375,2.4496820628888787,0.9053820765030262,0.9523493524821749,Porosity,Random Forest,3,Depth TimeSeriesSplit,3084,1027
0.9771193389762294,0.0038835132801008335,0.0022125169758970063,0.0010512834653968461,1.2760802278972871,0.9780309421063648,0.9889810071720337,Porosity,Random Forest,4,Depth TimeSeriesSplit,4111,1027
0.9682055328500082,0.002929971444688177,0.0014992873823845214,0.0006999753533182829,0.8636046189124233,0.9702849866615981,0.9855832912298018,Porosity,Random Forest,5,Depth TimeSeriesSplit,5138,1027
0.8537828738747304,0.005236792505890967,0.0027906235978034325,0.0017667122528909895,1.2282727819384351,0.8775406021429181,0.9696717692319401,Porosity,Extra Trees,1,Depth TimeSeriesSplit,1030,1027
0.942963441730361,0.003530439625720441,0.0014122632311976194,0.00044967961282452173,0.6937371141502369,0.9463288633492359,0.9745721257550822,Porosity,Extra Trees,2,Depth TimeSeriesSplit,2057,1027
0.9059240752356381,0.006837349127452592,0.004622171796966011,0.003123551309084621,2.4107980439739216,0.912605622446843,0.955362963181683,Porosity,Extra Trees,3,Depth TimeSeriesSplit,3084,1027
0.9788697015371969,0.003732014537334567,0.001954908498580186,0.0006914612591703007,1.1502541869632361,0.9790745990376235,0.9894906751341708,Porosity,Extra Trees,4,Depth TimeSeriesSplit,4111,1027
0.9793265997118017,0.002362618330621444,0.0011379211016737457,0.00046994206436934416,0.6531057359683383,0.9797787011988875,0.9900615690006438,Porosity,Extra Trees,5,Depth TimeSeriesSplit,5138,1027
-0.4568399210522791,0.016529973658130002,0.011045096823993246,0.008439461314243335,4.743886243849675,-0.22088783636642395,0.05489889356194119,Porosity,SVR RBF,1,Depth TimeSeriesSplit,1030,1027
0.3560680592689096,0.011862387788804487,0.008966035417426832,0.007513452722719888,4.022232127029783,0.3761589735689965,0.6685053869363398,Porosity,SVR RBF,2,Depth TimeSeriesSplit,2057,1027
0.4487071308483741,0.01655158908193941,0.012019001040740036,0.009228093673722848,6.07024631436787,0.46378562287691294,0.758906939362831,Porosity,SVR RBF,3,Depth TimeSeriesSplit,3084,1027
0.7305216028520325,0.01332761654079677,0.0097132466828148,0.007135739471224256,5.4266452178600355,0.8078448890461385,0.9096590484058925,Porosity,SVR RBF,4,Depth TimeSeriesSplit,4111,1027
0.7946327996397874,0.007446516456875137,0.0054637836502263205,0.004058005021263883,3.0126288659694604,0.80110643895872,0.908889841457182,Porosity,SVR RBF,5,Depth TimeSeriesSplit,5138,1027
