Feature,Importance
log10_ILD,0.8737352883726326
RHOB_roll5_mean,0.049424045520532194
DEPT,0.01853800311557261
log10_MSFL,0.017261610603811782
DT_roll15_mean,0.011976177002379714
ILD_to_SFLU,0.007073852125367674
GR_roll15_mean,0.00402829534660725
SP,0.0032739458634601587
RHOB_roll15_std,0.0026619289987068477
ILD_roll15_std,0.0026447202148060425
MSFL_to_SFLU,0.002545138881451877
log10_SFLU,0.002249135476807778
PEF,0.0019476738809228779
CALI,0.0016001169642490367
DRHO,0.0010400676326917193
