Feature,Importance
NPHI_minus_DRHO,0.35929765901085786
RHOB,0.35877734522486415
DT,0.2530274235250134
DEPT,0.015295066918729837
log10_ILD,0.0026698984089809446
log10_SFLU,0.0022132076075357422
DRHO,0.0015631470085065932
SP,0.0013502190493683904
GR_roll15_mean,0.0011030849913678683
log10_MSFL,0.0011019082597034495
DT_roll15_std,0.0010477456183963167
PEF,0.0009098558091638509
CALI,0.0008375649969923175
RHOB_roll15_std,0.0008058735705194538
