Target,Model,CV_R2_mean,CV_R2_std,CV_RMSE_mean,CV_RMSE_std,CV_MAE_mean,CV_MAE_std,CV_MAPE_percent_mean,CV_MAPE_percent_std,CV_Pearson_r_mean,CV_Pearson_r_std
Permeability k,SVR RBF,0.5996454788813977,0.2503605706994487,65.98156695234101,64.59680438652198,31.75905328456446,22.431734597535534,169.76305776826823,118.49005454670079,0.8814398632382232,0.08108377812062613
Permeability k,Extra Trees,0.5372185137438141,0.45182361075600735,66.92774868216989,69.29503268255704,35.321558960056265,26.000223399238013,35.55571885828964,30.822646850669724,0.9025915039808057,0.07991353721338822
Permeability k,Ridge Regression,0.5044427388557498,0.6339145956765408,78.31843648138457,106.28706233184059,30.241334035028984,36.13551465008323,15.014561069863442,7.838641582623692,0.9293769503416662,0.0887519475316303
Permeability k,XGBoost,0.39133445047693155,0.5146695818200938,74.58260384803164,61.74241666763476,39.44521992737587,23.062758277610598,35.57655724550361,25.803702012747063,0.8354502206159262,0.1819587139939957
Permeability k,Random Forest,0.10073264701438656,1.1272887364517825,82.69824437905837,73.6344493518065,43.558128906168605,28.422767217825907,43.53693238849674,37.62183417781974,0.7960599335471148,0.15710942874624576
Permeability k,Baseline Mean,-7.234341387633419,13.022948972762443,182.06669750460642,55.933926373710065,160.58196911241208,55.135154740595965,903.9288503004424,909.9679813759496,-2.9050183221923336e-16,3.6854228139771534e-16
Permeability k,ANN Deep MLP,-1215.875659195594,2334.6651992017373,4097.160195837441,7226.216320182501,565.7748498080686,705.886515238233,3130.168490404553,6511.919149525191,0.3203449660908315,0.2758973282072364
Porosity,Extra Trees,0.9674160732898596,0.01820218610113125,0.0034261899663575166,0.000394309184527347,0.001907644630061979,0.0004574143341403067,1.0403687558874677,0.290223457001231,0.9880742212203311,0.006502777833397583
Porosity,XGBoost,0.9537714666818703,0.028032890811968584,0.004116183583675529,0.0007066959852981329,0.0027084415005306168,0.0006086030443803114,1.4155069192087402,0.38431897206902826,0.9791105927367143,0.012226470496190474
Porosity,Random Forest,0.9414308729884094,0.04269775468439354,0.00444219978988899,0.0008007682717934922,0.00244879248184209,0.0005167426300325151,1.3140048232856927,0.2848740046819293,0.9775067828799531,0.01347973463239688
Porosity,Ridge Regression,0.7961678937475941,0.3070468272539014,0.007045311341968406,0.004035029661364187,0.004979422562015431,0.003422178429987298,2.4038345183623924,1.2622153333866772,0.9691499445108928,0.0252668515165852
Porosity,SVR RBF,0.044288420426957,0.3955772395466919,0.019283735029827866,0.004127408016342233,0.014599759394208928,0.0031750677841297756,7.650725910122145,1.9748127722791238,0.6798818113366103,0.14593380168198022
Porosity,Baseline Mean,-1.5623797112364097,1.16072670789581,0.03312755895659365,0.01285405288707578,0.02661551737944377,0.011621541831136518,14.729590404536676,8.004445134443106,-9.078660593540316e-17,5.761811462616362e-16
Porosity,ANN Deep MLP,-12.389285808425521,15.332728766471176,0.060729759861457025,0.02851188612391875,0.043137787900966826,0.024187083007836025,20.655924320225594,10.131516788654787,0.39446350211279524,0.29411118246224915
Water Saturation Sw,Ridge Regression,0.7015487000175481,0.284847451681845,0.05857081046765994,0.040956738837742916,0.034505738736409226,0.03243747537981134,7.2032219709078955,5.7248949991498685,0.939573344164225,0.019485318003005455
Water Saturation Sw,XGBoost,0.5332951671982494,0.5231267705859132,0.061884574894515584,0.046550475512127064,0.039872452742024826,0.040250138999121964,7.128978045941889,5.414986945736977,0.8516930192562289,0.10111844485036621
Water Saturation Sw,Random Forest,0.4904822851027921,0.6227814029499931,0.06548472401176578,0.051658989987021064,0.0415954806145746,0.043281716743079277,6.825445334490363,5.730350166022794,0.8311596363731283,0.14893312805945233
Water Saturation Sw,Extra Trees,0.4786757803390998,0.6162732597910632,0.07118271337366561,0.05557382530733903,0.046674520891579405,0.047229242323905185,10.016951525639433,10.522166863600109,0.8456423279660814,0.14771943348484506
Water Saturation Sw,SVR RBF,-0.1784175943290998,0.9335758268370336,0.09359502729276681,0.05454446710646708,0.06489570682795778,0.0479602941994105,14.590825695537948,9.008834393632524,0.651025686811233,0.26221069393790447
Water Saturation Sw,ANN Deep MLP,-0.3748061058723298,1.5453842944707374,0.0896229669916225,0.04028163078839686,0.05259262099016741,0.019070535124082216,14.349599800382643,11.280005399166326,0.6272336641637734,0.2839891299314045
Water Saturation Sw,Baseline Mean,-2.021626444696204,2.416597273389066,0.18645642841525545,0.1198154712868994,0.1622507934140815,0.11322420292995095,30.7488867308478,18.42791295746212,6.016064860773919e-17,3.7597577458040456e-16
