R2,RMSE,MAE,MedianAE,MAPE_percent,ExplainedVariance,Pearson_r,Target,Model,ValidationType,Rows
-4.068330650652945,0.03877336256546376,0.03496690614112854,0.03516824120538112,19.494332566749133,0.0,1.1331353336015188e-15,Porosity,Baseline Mean,Depth Holdout Validation,1088
-2.6269194376447365,0.03328234546708822,0.028667970824083545,0.025415224120322127,16.219346610973993,3.3306690738754696e-16,1.6990388690337054e-15,Porosity,Baseline Mean,Depth Holdout Test,1089
0.8908692415259947,0.0056895063056728,0.004485442206392335,0.003715315795048968,2.443780728603903,0.9295919800292105,0.9658134307264343,Porosity,Linear Regression,Depth Holdout Validation,1088
0.9651317501520491,0.0032633228681818783,0.0022640452944732823,0.0017527801532764564,1.250869657681606,0.9725741942502624,0.9865582157382361,Porosity,Linear Regression,Depth Holdout Test,1089
0.8902058556280086,0.00570677283892304,0.004514568832344738,0.0037499856782403085,2.4570042979162183,0.9319390769425253,0.9665065106733991,Porosity,Ridge Regression,Depth Holdout Validation,1088
0.962660903785901,0.0033769674190000983,0.002378532197454539,0.00189023906318192,1.3088521154450499,0.9720375415878428,0.9864499062575083,Porosity,Ridge Regression,Depth Holdout Test,1089
0.9665875392782043,0.0031481486217525157,0.0015853885229650765,0.0007003910243945921,0.9140236445549184,0.969229256964427,0.9851935453145738,Porosity,Random Forest,Depth Holdout Validation,1088
0.9915424598888862,0.0016071891904828133,0.0007559114510748335,0.00044372189352648306,0.42301693507053584,0.991543297091087,0.9961145338673385,Porosity,Random Forest,Depth Holdout Test,1089
0.9761789311729512,0.0026581630590425767,0.001245120050789882,0.0005041424240278397,0.7114453130144576,0.9767132987990816,0.9892561369159333,Porosity,Extra Trees,Depth Holdout Validation,1088
0.9878971797628067,0.001922597003530672,0.0008266533529550305,0.0004818962274034666,0.45376622801500527,0.9880523454520477,0.9952030922000531,Porosity,Extra Trees,Depth Holdout Test,1089
0.7944548598214278,0.007808266053423483,0.0056590662794317745,0.004182721349552443,3.1051689125527693,0.7988208164376378,0.9095930895066083,Porosity,SVR RBF,Depth Holdout Validation,1088
0.6885850225255876,0.00975247212721673,0.007154430191015825,0.005064086852625521,3.976259128219655,0.6890714541631411,0.8406183667199159,Porosity,SVR RBF,Depth Holdout Test,1089
0.907540942969532,0.005236917426719014,0.003929025116369407,0.003089317222147614,2.148482396352483,0.9151097397317005,0.9628317610959602,Porosity,ANN Deep MLP,Depth Holdout Validation,1088
0.8845670105681148,0.005937586385583728,0.004691728542646018,0.00406645908586914,2.579317796674085,0.9329620930907983,0.966258080579427,Porosity,ANN Deep MLP,Depth Holdout Test,1089
0.9549749211913092,0.003654502279413893,0.0025753541811979717,0.0019694452609631957,1.4363625010995953,0.9591558076176837,0.9798961347101682,Porosity,XGBoost,Depth Holdout Validation,1088
0.9668660968281652,0.003181128914155837,0.0023016827683780784,0.0017556057894110022,1.235548861689275,0.9705436144909197,0.9913328563044488,Porosity,XGBoost,Depth Holdout Test,1089
-0.2671274566797637,148.7323280838258,129.51919612845882,121.4748634267168,447.0615666303754,0.0,,Permeability k,Baseline Mean,Depth Holdout Validation,1088
-9.321784322784554,79.62019663595431,76.77634717224807,77.88120641581405,378.1903215386633,0.0,,Permeability k,Baseline Mean,Depth Holdout Test,1089
0.9708767397340108,22.548373544129916,9.56480865500276,4.306086212606287,18.862010521099194,0.9709110523778497,0.9853853706153396,Permeability k,Linear Regression,Depth Holdout Validation,1088
0.7542283839232715,12.286034156419504,5.604368544006313,3.8575378677744694,14.968461190949897,0.754229108694342,0.8687874151934615,Permeability k,Linear Regression,Depth Holdout Test,1089
0.9690243570196541,23.25441347730888,10.073767980407183,4.167475009763377,18.796080861141128,0.9690461122293992,0.9847288189819143,Permeability k,Ridge Regression,Depth Holdout Validation,1088
0.7514219517767149,12.355981307756066,5.482549551627466,3.7688778457833507,14.804088205034732,0.7516792090361721,0.8670773615537181,Permeability k,Ridge Regression,Depth Holdout Test,1089
0.9191693480246621,37.5649890072681,14.47326238064686,3.893196900515636,20.506912112156613,0.9191697651892795,0.9620558872618064,Permeability k,Random Forest,Depth Holdout Validation,1088
0.6322702873223053,15.028312490826032,6.317319488403791,3.6843024589934004,16.176252135766465,0.6540432743870366,0.8246154335708203,Permeability k,Random Forest,Depth Holdout Test,1089
0.9357417469817441,33.49343441177783,11.402529296504897,3.294275181213047,17.109528217185847,0.9357466988500525,0.968629301414121,Permeability k,Extra Trees,Depth Holdout Validation,1088
0.7021942933438474,13.524224256847923,5.079551065093589,2.9373763275715987,13.266257293124678,0.7161396454034084,0.8644736718751793,Permeability k,Extra Trees,Depth Holdout Test,1089
0.9106093269846752,39.50402329751109,16.73102369443084,6.523528965606104,27.14075284950237,0.9107321253382866,0.960937521423728,Permeability k,SVR RBF,Depth Holdout Validation,1088
0.7088013898620859,13.373359046908824,5.360502901772062,3.365172935350124,16.515950179901196,0.7226880496704958,0.8583967081476116,Permeability k,SVR RBF,Depth Holdout Test,1089
0.9697442494928281,22.982601685914734,9.182186324515605,3.33048332910632,15.307721430302134,0.9704569864087808,0.9870740418392687,Permeability k,ANN Deep MLP,Depth Holdout Validation,1088
